Group ,GEOID,X1397f_interest,X1397f_interestOppose,X1397g_interest,X1397g_interestOppose,X1397h_interest,X1397h_interestOppose,X1397i_interest,X1397i_interestOppose,X1397j_interest,X1397j_interestOppose,X1397k_interest,X1397k_interestOppose,X1397l_interest,X1397l_interestOppose,X1397m_interest,X1397m_interestOppose,X1397n_interest,X1397n_interestOppose,X1397o_interest,X1397o_interestOppose
0,9999,74.104,25.388,77.053,21.126,77.684,21.28,77.15,21.35,77.768,20.788,76.001,22.417,78.569,20.127,75.335,23.358,76.325,22.393,76.055,23.025
0,1,70.616,28.681,72.225,24.895,72.792,26.246,71.271,27.27,72.423,26.62,71.683,26.842,73.186,24.671,70.474,29.146,70.617,27.931,71.756,27.426
0,2,69.774,30.172,74.205,25.74,76.694,23.763,77.103,22.27,76.285,23.862,72.214,27.089,75.568,22.433,73.594,24.655,73.171,26.223,72.992,26.306
1,4,69.738,29.69,73.88,24.73,76.767,22.846,75.285,23.575,76.55,22.511,74.5,23.737,76.912,20.755,74.039,24.105,74.882,23.593,73.996,24.79
0,5,72.075,27.432,75.765,22.787,73.299,25.569,72.598,25.761,73.423,25.557,71.581,26.967,75.144,24.408,70.618,28.576,71.542,27.594,72.199,26.875
1,6,76.249,22.675,79.206,18.379,81.073,17.348,80.292,17.717,81.634,16.123,80.21,17.949,82.336,16.312,79.194,19.079,80.13,18.089,79.756,19.049
1,8,70.914,28.571,75.953,22.694,78.63,20.846,77.257,21.59,78.446,20.339,76.846,21.434,79.211,18.791,76.347,22.153,77.442,21.236,76.681,22.307
1,9,75.834,23.476,79.211,18.709,79.701,18.618,78.991,19.356,79.75,17.97,78.285,19.497,80.826,17.999,76.953,21.075,79.466,19.013,78.24,20.518
1,10,75.169,24.116,77.545,19.559,78.302,20.015,77.19,21.066,78.018,19.767,77.527,20.491,79.346,19.196,76.046,22.753,77.81,20.545,77.416,21.48
1,11,82.405,17.322,87.301,11.158,89.258,10.192,89.034,9.99,88.381,9.896,86.568,11.749,88.78,10.177,86.647,11.538,88.031,11.127,86.919,12.156
0,12,73.268,26.297,75.281,22.241,75.994,22.853,75.636,22.894,76.183,22.428,74.093,24.027,76.167,21.897,73.928,24.518,74.594,23.525,74.272,24.794
1,13,72.312,27.188,74.098,24.617,75.784,23.212,75.494,23.094,75.522,23.26,72.948,25.044,76.1,22.214,72.179,25.549,73.924,24.376,72.597,26.256
1,15,77.979,21.051,81.541,16.111,84.113,14.652,83.224,15.105,84.064,13.909,82.534,15.912,84.124,14.205,82.37,16.211,82.319,16.248,83.242,15.655
0,16,63.037,35.839,70.837,28.213,72.621,27.248,69.142,29.56,71.682,27.976,70.509,27.787,70.769,24.707,69.702,28.235,69.676,28.217,71.685,27.314
1,17,77.186,22.791,79.028,19.714,80.428,18.807,80.763,17.953,80.459,17.985,78.564,20.148,81.701,17.631,78.28,20.76,79.403,19.967,78.348,20.836
0,18,72.066,28.008,72.977,25.002,73.067,26.384,72.954,25.955,73.285,26.072,71.728,27.358,74.329,24.596,70.748,29.091,71.614,27.92,71.826,27.672
0,19,73.587,26.64,75.762,22.401,76.368,23.153,76.176,23.305,75.713,23.435,74.554,24.53,77.761,21.834,73.506,26.163,75.535,24.391,74.411,24.941
0,20,70.391,29.217,74.11,24.583,74.523,24.83,73.595,25.479,74.152,25.101,72.453,26.075,75.171,23.241,71.683,27.235,73.08,25.966,72.593,26.462
0,21,69.671,29.976,72.844,24.704,73.732,25.96,72.03,26.938,72.551,27.042,72.225,26.894,74.077,24.069,70.503,29.038,71.427,28.037,72.713,26.762
0,22,74.739,24.967,76.482,22.166,74.676,24.112,74.821,23.658,74.843,23.913,72.43,25.901,76.588,23.426,71.606,27.318,72.941,26.185,71.927,26.681
1,23,72.251,27.306,75.29,22.928,75.615,23.033,75.456,23.131,75.977,22.344,74.025,24.256,76.773,22.117,73.333,25.324,75.164,23.502,74.059,24.923
1,24,78.513,21.161,80.783,16.884,82.422,16.359,82.049,16.522,82.035,15.903,80.242,17.64,83.087,15.852,79.708,18.528,81.626,17.077,80.466,18.451
