Group,GEOID,TotalPop,congress,congressOppose,corporations,corporationsOppose,citizens,citizensOppose,regulate,regulateOppose,supportRPS,supportRPSOppose,fundrenewables,fundrenewablesOppose,exp,expOppose,prienv,prienvOppose,teachGW,teachGWOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,harmUS,harmUSOppose,affectweather,affectweatherOppose
1,9999,77510230,84.542,5.962,85.791,5.132,82.983,5.559,90.491,8.895,82.799,17.115,93.134,5.925,59.979,40.152,84.775,13.642,93.011,6.644,91.041,2.877,78.969,15.722,75.563,13.291,85.321,16.37,80.568,11.754,85.049,2.192
0,9999,62678451,39.638,27.457,54.401,16.531,46.489,18.711,64.441,34.313,49.121,49.365,79.993,18.893,22.049,78.532,51.55,46.569,61.312,39.326,51.639,30.162,35.396,46.497,34.66,45.833,39.957,60.749,37.698,54.352,42.317,11.311
1,1,1002395,76.146,7.743,78.097,5.923,75.321,8.584,86.68,11.406,78.324,22.873,89.118,9.072,53.755,44.439,81.832,16.049,91.902,7.291,83.549,2.753,69.957,23.22,63.587,15.148,75.875,24.264,73.523,12.055,79.397,2.891
1,2,52317,83.047,4.399,86.345,4.15,83.006,3.109,90.661,8.587,83.227,15.316,94.188,4.515,61.985,36.618,88.671,8.468,93.347,5.749,92.294,3.501,79.694,12.363,77.261,15.36,88.566,11.428,82.665,10.429,85.473,1.877
1,4,1255547,84.753,5.542,86.609,5.137,83.671,4.84,90.143,9.087,82.827,16.333,93.347,5.717,62.105,37.561,84.334,13.465,91.264,7.872,92.302,2.949,80.558,13.049,78.851,13.1,89.108,10.811,82.115,10.791,84.995,1.993
1,5,82227,82.5,7.283,83.593,5.701,80.278,5.923,88.921,9.999,80.769,18.947,90.932,6.538,58.014,40.614,82.745,14.364,92.325,7.062,89.371,3.797,75.262,17.279,68.2,15.933,83.295,16.747,78.755,12.731,81.89,2.793
1,6,8095215,87.355,5.629,87.594,5.146,85.519,5.199,91.918,7.116,84.739,14.489,93.564,4.753,63.943,35.595,87.653,10.543,93.85,5.749,93.812,1.854,82.957,10.94,80.708,10.569,90.347,9.625,84.449,10.106,88.113,1.722
1,8,1160937,85.956,4.844,88.116,4.278,85.188,4.029,91.452,7.807,84.383,14.768,94.328,4.697,61.832,37.195,85.925,12.127,92.955,6.354,91.639,2.697,81.783,11.603,78.098,12.375,89.595,10.329,82.2,11.238,87.442,1.815
1,9,813596,87.641,4.63,87.863,4.823,84.602,4.021,92.263,6.62,85.1,14.688,94.583,4.468,60.817,38.156,85.894,12.42,95.582,4.197,91.917,2.299,80.458,13.3,77.945,11.8,88.414,11.594,82.995,10.016,87.481,2.224
1,10,322905,85.652,6.738,86.085,5.49,83.545,6.933,90.6,8.529,82.812,17.153,92.635,5.794,60.081,39.996,82.771,14.976,91.965,7.565,90.414,2.563,78.806,14.451,76.18,11.839,83.968,16.023,78.778,13.632,85.533,2.025
1,12,5074948,84.245,6.837,84.662,6.295,81.533,7.195,89.211,9.982,82.246,16.084,91.622,6.989,60.363,39.786,81.126,15.722,90.393,8.829,90.783,2.817,77.053,16.217,71.284,12.965,83.397,16.621,79.058,12.306,82.308,2.236
1,13,3331416,80.862,6.307,82.691,5.406,79.926,7.039,87.698,10.591,79.758,19.561,90.922,7.166,57.156,41.966,83.111,15.236,92.437,6.875,89.227,2.413,75.035,18.102,70.047,12.833,80.574,19.351,76.182,11.298,82.88,2.333
1,15,263261,88.754,4.758,89.484,4.662,85.986,3.647,92.63,6.59,84.335,14.166,95.214,3.708,64.536,34.925,87.369,10.2,93.582,5.896,93.864,2.214,82.912,10.374,82.113,11.382,89.775,10.131,85.34,10.266,88.514,1.677
1,16,100078,86.206,4.274,86.541,5.041,82.645,3.377,90.61,8.688,85.017,13.399,93.918,5.556,64.744,34.194,85.213,11.84,93.974,5.202,91.583,4.232,78.92,13.662,74.305,15.566,90.398,9.559,83.502,9.059,86.031,2.793
1,17,4561430,84.971,5.179,87.106,4.171,83.171,4.087,91.768,7.464,82.3,17.043,94.346,4.607,57.833,41.695,85.407,13.073,93.129,6.452,91.322,2.696,80.173,14.831,75.31,12.413,82.845,17.2,79.886,11.919,86.484,2.088
1,18,1712197,82.56,6.027,85.226,4.422,82.105,5.532,89.686,9.497,81.219,18.835,93.559,5.352,55.909,43.904,84.136,14.311,91.975,7.479,89.239,3.944,77.629,17.034,73.608,14.749,80.129,20.076,77.069,13.216,84.011,2.203
1,19,655970,83.463,5.456,86.57,3.596,84.005,3.277,91.811,6.841,82.535,15.814,94.181,3.634,56.338,42.361,88.612,10.144,95.391,4.38,90.548,3.593,79.172,13.818,75.882,14.998,86.111,13.871,79.073,14.023,85.286,2.15
1,20,442266,83.85,5.862,85.632,4.742,82.617,4.352,90.452,8.472,82.658,15.493,93.68,5.058,58.575,40.775,86.065,11.748,93.311,6.164,90.09,3.807,77.894,15.401,73.667,15.117,85.357,14.668,79.565,13.212,84.285,2.412
1,21,1623331,82.157,6.231,85.69,4.411,82.096,4.262,89.928,9.028,81.34,19.043,93.655,5.04,57.79,40.989,86.428,10.939,92.716,6.66,89.096,4.249,77.093,15.375,68.469,16.686,83.275,16.638,77.857,13.885,82.854,2.421
1,22,1264238,78.853,8.685,78.748,6.823,76.188,7.475,86.654,11.901,77.017,22.071,89.602,8.27,55.619,43.214,79.908,17.219,90.614,8.908,86.807,3.78,69.578,22.044,64.665,15.603,78.871,21.154,75.714,12.147,78.586,2.967
1,23,327003,88.601,4.318,90.436,3.638,87.368,3.998,93.033,6.595,86.494,13.836,95.391,3.754,62.77,38.256,85.053,12.393,92.464,6.632,93.441,2.485,83.027,11.76,81.974,11.826,86.699,13.329,82.033,13.149,89.256,1.544
1,24,2145746,84.297,5.771,83.999,5.299,82.132,5.444,90.647,8.097,81.645,17.578,92.378,5.52,59.244,39.913,84.34,13.702,94.25,5.498,90.913,1.951,77.307,14.671,76.364,11.585,84.482,15.533,79.229,11.404,83.922,2.026
1,25,1445177,87.987,3.957,88.884,3.986,86.539,3.609,92.888,6.334,86.523,12.749,95.744,3.868,62.904,37.546,86.593,11.79,94.879,4.673,93.15,1.933,83.188,10.967,82.081,10.796,88.543,11.496,83.481,10.881,88.222,1.585
1,26,3041665,84.06,5.122,86.279,4.875,82.14,4.587,90.911,7.867,82.459,16.242,92.737,5.713,57.105,42.159,83.032,14.823,93.5,5.916,89.684,2.869,76.754,17.397,71.883,13.448,82.014,18.086,78.254,12.71,84.896,2.26
1,27,1192416,84.977,5.099,87.338,4.117,84.525,3.814,92.004,7.21,84.155,14.318,94.721,4.296,60.206,39.22,87.185,11.089,92.883,6.655,92.195,2.692,80.43,12.374,79.316,13.097,86.492,13.675,80.746,12.525,86.098,2.063
1,28,653793,79.637,7.126,81.851,5.223,77.574,6.77,89.241,9.393,79.508,21.19,91.07,7.317,54.994,43.349,82.708,15.183,92.534,6.769,85.55,2.631,71.914,21.446,66.415,14.56,78.113,22.076,75.19,11.855,81.851,2.634
1,29,1171239,81.938,5.307,84.613,5.123,82.313,5.397,89.021,9.584,83.197,15.305,92.631,6.245,59.37,40.006,85.636,12.435,92.295,6.974,89.994,2.967,76.458,15.98,72.974,14.168,83.451,16.781,78.409,11.826,83.185,2.262
1,30,169028,82.8,5.522,86.959,4.28,84.084,3.016,91.756,7.676,84.822,14.711,94.42,4.597,59.64,39.29,87.538,10.023,92.775,6.609,91.075,3.567,77.257,15.235,74.05,16.978,88.477,11.426,79.887,13.213,84.089,2.466
1,31,351428,82.368,5.946,85.458,4.5,82.288,4.158,90.015,8.883,81.414,16.909,94.035,4.991,57.238,42.04,86.269,11.701,92.948,6.462,89.801,3.732,77.644,15.444,72.872,15.902,84.707,15.308,78.673,14.025,84.332,2.375
1,32,663582,84.386,5.996,85.923,5.33,83.218,5.349,89.955,9.173,82.226,16.705,92.126,5.873,60.881,38.334,84.073,14.019,91.186,8.098,91.662,2.707,79.887,13.458,75.635,12.564,88.343,11.56,81.244,11.197,84.506,2
1,33,221963,88.874,4.334,90.62,3.697,86.898,3.542,93.4,5.903,86.963,12.642,95.909,3.411,63.529,37.413,86.295,11.782,94.668,4.886,93.096,2.665,81.982,12.476,80.399,12.401,87.861,12.139,82.489,11.749,89.639,1.838
1,34,2108662,86.257,5.877,87.188,5.038,83.8,4.825,91.492,7.537,84.765,14.226,93.926,4.964,61.918,38.877,85.772,12.198,94.525,5.014,92.549,2.413,80.182,14.633,76.493,12.917,87.207,12.781,82.661,10.98,87.265,1.996
1,35,560694,83.364,7.029,86.332,4.804,84.389,5.621,90.32,8.551,80.505,19.166,93.771,5.013,57.842,41.252,84.732,13.471,90.37,9.145,91.577,2.521,81.08,13.344,79.051,12.66,88.463,11.384,80.707,12.238,86.311,1.714
1,36,6131153,85.489,4.534,85.202,4.7,83.583,3.848,91.272,7.956,84.583,14.139,93.953,5.114,61.355,38.375,86.266,11.619,94.558,4.739,91.882,2.518,80.883,13.283,77.067,12.653,87.719,12.331,83.773,9.85,86.076,1.715
1,37,2619689,82.492,7.28,82.711,6.585,79.404,7.261,88.444,10.427,80.058,19.182,92.154,7.301,58.566,41.085,80.948,16.151,91.201,8.289,89.505,2.899,73.745,18.39,71.24,13.46,81.473,18.522,77.073,12.259,81.402,2.549
1,38,43590,80.85,6.22,85.608,3.706,82.837,3.631,91.67,8.109,82.81,17.253,95.053,4.3,55.129,43.967,88.407,9.682,90.976,8.609,90.095,4.182,76.517,16.332,71.27,17.748,83.197,16.828,77.06,14.48,83.16,2.493
1,39,1304222,86.049,4.876,87.269,4.344,84.083,3.911,91.505,7.645,83.526,15.633,93.805,4.77,57.267,42.537,84.01,14.184,92.758,6.73,89.791,3.038,78.472,15.642,74.717,14.362,81.49,18.569,79.187,13.533,84.583,2.081
1,40,741961,82.464,7.044,84.449,5.241,81.035,5.377,89.315,9.71,81.29,17.85,92.911,5.766,58.133,40.648,83.344,13.545,91.957,7.255,88.83,4.729,76.157,16.835,66.918,17.103,83.717,16.319,79.263,12.967,83.014,2.602
1,41,1084569,88.574,4.212,90.352,3.915,87.049,3.809,92.843,6.757,86.905,12.767,95.005,4.02,65.676,34.059,88.153,9.307,93.533,5.593,93.999,2.348,83.833,9.879,84.806,11.393,89.937,10.073,84.301,11.198,89.158,1.557
1,42,3883100,85.02,6.572,86.213,4.759,83.332,5.154,90.956,8.118,83.285,16.183,93.347,5.128,58.07,41.657,85.263,12.714,93.616,5.84,90.808,3.527,79.154,15.483,75.832,14.003,85.352,14.593,80.413,13.154,84.359,2.092
1,44,311489,88.407,5.208,89.443,4.635,86.671,5.384,92.26,7.19,85.613,14.686,94.713,4.605,62.877,38.407,84.049,13.773,92.093,7.238,93.389,2.38,83.063,11.95,82.508,10.794,87.149,12.866,82.245,12.839,89.03,1.679
1,45,1277966,79.702,6.395,79.997,5.573,77.335,7.031,87.878,10.343,80.941,18.587,90.745,7.552,55.993,42.887,82.623,15.419,92.512,6.746,88.373,2.582,72.635,20.025,66.042,13.794,79.991,19.904,75.19,11.816,82.027,2.511
1,46,170328,84.346,4.912,86.456,4.309,82.738,3.228,91.195,7.705,83.855,13.714,94.732,4.254,59.71,39.07,87.628,10.297,94.843,4.651,90.731,3.861,78.353,14.595,71.702,16.381,86.983,13.062,80.999,11.947,85.334,2.525
1,47,1326484,80.768,6.853,81.974,5.978,77.986,7.362,87.869,10.55,80.576,19.599,90.453,7.675,57.428,41.26,82.886,14.585,92.805,6.349,85.936,3.274,73.496,19.547,67.487,15.244,79.349,20.817,76.848,11.748,81.88,2.475
1,48,6234281,82.814,6.199,85.372,5.316,83.154,5.932,88.735,9.972,80.91,18.86,92.307,6.436,58.47,40.834,82.783,14.763,92.441,6.904,90.297,2.85,77.779,15.638,72.761,13.7,84.498,15.619,80.45,10.833,83.696,2.252
1,49,154170,83.025,4.772,86.367,4.162,82.863,3.166,90.465,8.505,82.977,15.097,94.147,4.716,60.534,37.971,86.857,10.962,93.871,5.48,92.019,3.654,79.257,13.051,77.486,15.73,89.311,10.597,81.216,10.924,85.936,2.299
1,50,224907,89.441,4.991,89.613,3.665,85.855,2.978,93.896,5.746,83.879,14.851,95.904,3.168,61.119,38.614,84.66,13.058,94.013,5.647,92.993,2.261,83.97,10.627,84.278,10.912,88.798,11.077,83.514,11.984,89.293,1.694
1,51,2507974,84.518,5.73,86.017,5.037,82.56,5.47,90.142,8.415,82.484,16.321,93.211,5.668,59.362,39.88,84.308,13.709,93.369,6.026,91.131,2.375,78.648,14.94,78.465,12.573,84.123,15.759,79.235,11.542,85.268,2.128
1,53,2201404,88.137,4.911,89.06,4.486,86.346,3.527,92.414,6.896,84.358,14.157,94.733,4.191,64.075,35.54,87.007,10.799,93.855,5.618,93.337,2.385,82.224,11.144,81.835,12.103,89.016,10.847,83.823,11.091,87.844,1.794
1,54,495591,79.111,6.58,85.373,3.669,82.052,4.085,89.679,9.259,78.94,20.764,93.354,4.457,53.597,45.279,85.389,11.614,91.571,7.624,88.186,4.986,76.324,16.16,69.193,18.718,81.312,18.589,74.863,16.739,82.304,2.149
1,55,895178,85.922,5.167,87.811,4.074,84.954,3.537,92.707,6.779,83.119,16.232,94.889,4.263,57.054,42.438,84.688,13.318,93.353,6.158,90.893,3.049,79.081,16.101,76.389,13.987,83.026,17.083,79.329,12.369,86.38,2.092
